Day,Year,8 AM-9 AM,9 AM-10 AM,10 AM-11 AM,11 AM-12 PM,12 PM-1 PM,1 PM-2 PM,2 PM-3 PM,3 PM-4 PM,4 PM-5 PM
SUN,1,,J cse1101,EC cse1201,,,,,,
SUN,2,,,,,J cse2101,,,,
SUN,3,,,,,,,,,
SUN,4,,,,,,,J cse4402,J cse4402,J cse4402
MON,1,,J cse1101,,,,,EC cse1201,,
MON,2,,,,,,,,,
MON,3,,,J cse3101,,J cse3101,,,,
MON,4,,,,,,,,,
TUE,1,,,,EC cse1201,,,J cse1101,,
TUE,2,,,,,,,,,
TUE,3,,,,,,,,J cse3101,
TUE,4,,,,,,,,,
WED,1,,,,EC cse1201,,,,,
WED,2,,,,J cse2101,,,EC  cse2102,EC  cse2102,EC  cse2102
WED,3,,,,,,,,,
WED,4,,,,,,,,,
THU,1,,,,,,,J  cse1102,J  cse1102,J  cse1102
THU,2,,,,,,,,,
THU,3,,,,,,,,,
THU,4,,,,,,,,,
