Day,Year,8 AM-9 AM,9 AM-10 AM,10 AM-11 AM,11 AM-12 PM,12 PM-1 PM,1 PM-2 PM,2 PM-3 PM,3 PM-4 PM,4 PM-5 PM
SUN,1,,jry 053302Phy1151,chrs 071402CSE1103,tm 054102Math1151,cty 023102Eng1151,,alc 071402CSE1100,alc 071402CSE1100,alc 071402CSE1100
SUN,2,,,,,,,,,
SUN,3,,,,,,,,,
SUN,4,,,,,,,,,
MON,1,,tm 054102Math1151,,bob 071402CSE1101,,,jry 053302Phy1152,jry 053302Phy1152,jry 053302Phy1152
MON,2,,,,,,,,,
MON,3,,,,,,,,,
MON,4,,,,,,,,,
TUE,1,,bob 071402CSE1101,chrs 071402CSE1103,,jry 053302Phy1151,,cty 023102Eng1152,cty 023102Eng1152,cty 023102Eng1152
TUE,2,,,,,,,,,
TUE,3,,,,,,,,,
TUE,4,,,,,,,,,
WED,1,,tm 054102Math1151,jry 053302Phy1151,,,,,,
WED,2,,,,,,,,,
WED,3,,,,,,,,,
WED,4,,,,,,,,,
THU,1,,,,bob 071402CSE1101,cty 023102Eng1151,,bob 071402CSE1102,bob 071402CSE1102,bob 071402CSE1102
THU,2,,,,,,,,,
THU,3,,,,,,,,,
THU,4,,,,,,,,,
